V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14
2033.735595703125,2033.3728,2033.9235,2032.9934,2034.1079,2034.3197,2033.6304,2035.2618,2035.5254,2034.9131,2034.8771,2034.9575,2035.5403,2035.3213
2974.55810546875,2975.4656,2976.661,2971.14,2977.7947,2973.8037,2976.9016,2975.4236,2974.5667,2977.284,2972.6875,2975.2334,2973.7295,2974.2114
1127.5791015625,1129.4481,1126.8737,1126.3916,1135.7267,1130.1399,1130.4415,1134.7627,1133.898,1133.9591,1122.2848,1128.4004,1134.4628,1130.2513
1242.2978515625,1239.757,1235.0394,1228.6427,1253.7532,1234.9514,1248.4995,1237.4337,1233.9282,1245.7869,1241.7977,1236.2673,1219.0483,1230.8394
5879.02392578125,5879.1665,5882.6216,5880.4956,5886.627,5887.39,5885.9067,5887.169,5891.4355,5889.539,5886.667,5890.035,5891.9194,5885.9155
3097.82177734375,3102.4246,3096.5247,3094.6755,3093.4116,3088.236,3107.7212,3103.7627,3102.569,3098.9539,3095.1025,3097.4329,3102.787,3096.2078
5519.734375,5528.202,5480.3,5469.795,5422.9136,5524.134,5479.6924,5513.1016,5455.7217,5423.64,5629.894,5519.883,5605.67,5438.4434
1734.535400390625,1733.9535,1734.9135,1734.5504,1735.9558,1735.8494,1735.157,1736.0679,1735.5948,1735.755,1734.9963,1737.2726,1737.4662,1735.1481
1587.0081787109375,1586.4896,1587.3073,1586.9994,1588.2091,1588.0634,1587.4866,1588.2599,1587.8138,1587.9489,1587.3944,1589.4044,1589.4786,1587.4656
2619.959716796875,2619.2073,2620.9998,2620.076,2625.7144,2625.427,2621.6292,2620.8364,2625.4468,2627.1482,2622.1995,2623.4656,2623.6084,2622.3325
2439.918212890625,2438.938,2439.8313,2439.758,2437.8813,2439.8313,2439.9087,2439.2107,2439.2502,2438.1057,2438.136,2438.0205,2436.8296,2438.7278
3677.21240234375,3677.1367,3679.5662,3679.8862,3685.2686,3685.2324,3681.8936,3687.6663,3688.645,3689.8948,3679.255,3680.4,3692.7183,3685.3157
7257.7880859375,7252.785,7265.2617,7266.961,7270.6064,7284.605,7275.137,7284.0625,7298.099,7293.2544,7282.901,7282.6294,7289.161,7284.752
5703.60205078125,5704.328,5710.367,5715.9907,5716.5205,5720.0435,5715.4907,5716.9814,5711.5522,5710.4385,5722.053,5729.65,5735.9536,5713.9766
8187.80078125,8209.564,8214.223,8226.317,8265.148,8312.883,8225.669,8315.375,8314.024,8306.247,8214.416,8219.658,8398.98,8272.174
3070.364013671875,3070.3372,3072.5503,3070.3909,3066.3445,3071.334,3073.0437,3070.0588,3073.992,3071.1667,3073.421,3071.3328,3065.7664,3065.8264
4046.2451171875,4049.2449,4053.634,4054.848,4057.1238,4059.1055,4055.2761,4065.5615,4066.188,4062.331,4048.4924,4055.7083,4071.841,4063.5693
9556.48046875,9555.106,9556.447,9554.4375,9560.534,9552.739,9559.272,9564.317,9560.408,9561.255,9556.998,9561.0205,9561.004,9559.84
2704.450927734375,2707.3655,2710.9678,2707.2708,2724.607,2711.8413,2715.1335,2717.7646,2726.128,2725.176,2713.737,2727.4934,2735.8064,2718.2095
10852.7666015625,10858.779,10862.062,10860.325,10854.549,10861.942,10859.855,10861.76,10859.838,10863.426,10872.727,10862.549,10855.725,10858.056
2693.05908203125,2695.9485,2699.5269,2695.996,2713.2456,2700.453,2703.7114,2706.4182,2714.9448,2713.7693,2702.36,2716.2727,2724.563,2707.0254
2877.887451171875,2878.402,2872.7954,2867.2021,2878.1948,2875.1824,2878.1282,2872.4155,2873.0046,2879.8374,2874.232,2873.6843,2877.0405,2872.4578
1927.41015625,1927.8206,1923.2682,1917.3702,1924.1887,1920.7762,1926.295,1918.6798,1923.5024,1925.4172,1919.8215,1918.2832,1922.5726,1923.1465
2567.286376953125,2567.7957,2562.7856,2557.4543,2566.7898,2564.289,2567.5615,2562.045,2562.3638,2568.3396,2563.639,2563.2993,2565.993,2561.6855
1598.2498779296875,1598.5835,1595.5841,1590.9349,1595.6321,1593.5471,1597.3802,1592.5404,1595.2463,1596.7031,1592.2701,1590.6948,1594.9852,1594.8544
2389.79638671875,2390.3054,2386.3738,2382.9692,2390.4255,2389.3013,2389.949,2386.9702,2385.5996,2392.0115,2387.6501,2386.9775,2389.898,2386.256
1719.2850341796875,1719.742,1715.9103,1710.2458,1716.1788,1712.9539,1718.5116,1711.3262,1715.5607,1717.337,1712.4681,1711.1124,1714.9808,1715.0814
426.4151611328125,427.99954,428.88184,427.84317,426.833,424.5727,428.20804,426.71317,428.38718,427.35947,434.40573,431.24716,428.62424,425.03058
6413.990234375,6413.7856,6414.948,6412.972,6422.354,6420.117,6419.304,6418.05,6420.436,6418.52,6425.016,6435.8403,6430.985,6419.183
612.8206176757812,615.09735,616.365,614.87274,613.42017,610.17206,615.3973,613.24854,615.65436,614.1769,624.3055,619.7651,615.99493,610.83014
2128.176513671875,2128.9011,2132.5796,2129.0974,2136.5862,2136.3865,2134.6665,2137.0151,2144.1482,2145.2378,2137.4873,2137.089,2135.6704,2130.4634
1930.253173828125,1930.9121,1934.2483,1931.0908,1937.8824,1937.7046,1936.1437,1938.2745,1944.7482,1945.7382,1938.6879,1938.3186,1937.057,1932.3302
6757.63232421875,6754.543,6763.1333,6762.749,6765.3403,6778.228,6762.8755,6781.2285,6776.1304,6777.155,6744.4736,6751.887,6758.908,6778.6777
2294.58251953125,2297.4219,2296.0754,2288.262,2295.0098,2295.4146,2294.1792,2292.4358,2289.6726,2299.0696,2288.7993,2288.2505,2294.2292,2291.3264
1654.939697265625,1657.7664,1656.7888,1659.6895,1659.1099,1656.0479,1657.6436,1656.2262,1660.2596,1658.6428,1662.1779,1664.3298,1660.3314,1657.2794
3782.806396484375,3783.4263,3787.5938,3785.262,3792.0833,3792.8093,3789.1775,3789.6562,3797.0715,3798.1902,3796.3123,3798.933,3792.2705,3788.4678
2464.58837890625,2471.9453,2470.7244,2463.417,2467.8303,2470.057,2469.8735,2468.166,2469.7505,2471.1082,2459.3706,2462.13,2474.624,2471.273
2292.176025390625,2294.207,2299.013,2289.1624,2292.138,2294.6936,2302.201,2293.3264,2297.4058,2300.7798,2282.9158,2295.798,2300.1511,2291.1118
2519.605224609375,2520.2466,2534.8857,2535.2231,2547.731,2547.1235,2540.5037,2537.4949,2556.5505,2561.4678,2539.602,2546.0168,2551.3447,2536.4744
3903.5830078125,3905.3894,3909.864,3908.0815,3908.4146,3909.1687,3908.2974,3911.1567,3916.0186,3911.6504,3910.0662,3918.8557,3919.046,3913.055
6498.7490234375,6492.919,6490.499,6478.7935,6497.869,6519.782,6529.3877,6519.1045,6551.041,6564.1313,6552.001,6542.814,6551.7676,6476.37
7018.9775390625,7033.686,7024.979,7016.4976,7020.7324,7033.1045,7020.602,7022.106,7020.3804,7022.7603,7064.097,7077.2534,7036.3228,7024.034
1129.1904296875,1128.8112,1129.0077,1129.5685,1128.3157,1128.5936,1129.5499,1129.5149,1129.1368,1128.1396,1131.0071,1130.9374,1128.7789,1128.0935
8591.1103515625,8596.723,8597.016,8596.982,8599.858,8591.981,8587.536,8594.216,8589.696,8596.243,8599.548,8595.7295,8590.165,8594.241
1121.2254638671875,1121.1979,1121.4886,1121.6367,1121.3995,1121.8439,1120.8353,1121.83,1121.2498,1121.3817,1120.8679,1120.8925,1121.8933,1121.9767
10193.75,10200.764,10205.773,10187.3545,10196.582,10184.567,10204.523,10198.969,10183.377,10196.742,10175.662,10190.077,10210.489,10193.229
1014.6149291992188,1015.36786,1014.39636,1014.81915,1014.96405,1014.1717,1013.5057,1015.4369,1014.0986,1013.9424,1013.35077,1015.3201,1016.9935,1016.20087
10495.93359375,10491.733,10495.198,10495.986,10476.311,10490.7295,10497.784,10500.395,10486.675,10484.744,10505.026,10505.735,10484.281,10486.187
11096.9423828125,11092.553,11095.145,11097.762,11082.084,11090.352,11098.724,11100.042,11091.087,11085.511,11109.158,11109.433,11087.4795,11085.691
9963.796875,9968.225,9977.203,9962.179,9967.466,9961.081,9971.122,9973.636,9954.881,9967.706,9954.414,9969.994,9972.854,9962.918
1026.4197998046875,1026.8636,1027.6951,1026.1583,1026.7485,1026.0963,1027.0969,1027.1139,1025.5004,1026.8804,1025.5575,1027.0223,1027.3617,1026.3806
2909.12353515625,2916.2778,2915.9883,2913.7102,2907.13,2905.6433,2908.41,2912.9104,2901.4778,2906.3271,2912.6309,2913.658,2916.4504,2910.0137
1107.9613037109375,1108.0814,1108.1566,1108.2446,1108.1906,1108.3254,1107.7073,1108.8027,1108.2407,1108.2308,1107.7562,1107.7405,1108.5966,1108.7772
2823.633544921875,2823.379,2825.2053,2822.2952,2825.2202,2825.4045,2824.484,2825.6838,2826.8535,2826.1284,2824.6882,2828.585,2827.8713,2825.6272
1080.3162841796875,1080.7775,1080.7552,1079.4086,1080.7118,1080.5082,1081.4956,1081.0308,1080.8275,1081.8406,1080.4517,1079.886,1080.7866,1080.7576
10543.068359375,10543.946,10544.63,10546.635,10547.658,10548.543,10538.949,10548.58,10542.424,10548.484,10538.335,10535.073,10543.711,10549.119
1719.7994384765625,1719.6863,1719.7386,1718.2212,1717.5281,1717.4893,1719.947,1720.31,1717.1724,1717.7028,1719.4152,1718.755,1718.1359,1717.8506
1679.7364501953125,1680.1846,1680.5817,1678.8014,1676.7212,1678.973,1680.6294,1680.5728,1678.3219,1678.8568,1680.5952,1681.2432,1678.6248,1678.0996
4924.6826171875,4925.7485,4925.139,4922.7104,4930.1733,4927.801,4928.589,4928.864,4930.7866,4929.7227,4926.657,4934.589,4937.3325,4928.013
4081.794189453125,4084.6887,4084.7317,4079.0718,4086.6724,4087.2166,4085.816,4093.3298,4094.743,4092.0293,4082.0793,4089.6587,4092.5225,4091.2056
