V1,V2,V3,V4,V5,V6,V7,V8
6835.1630859375,6808.7534,6809.255,6850.0254,6841.0225,6826.041,6819.687,6874.924
7069.50439453125,7049.037,7049.275,7084.037,7060.499,7055.6226,7046.514,7093.979
7209.59521484375,7172.3115,7166.755,7196.9453,7177.822,7152.432,7137.8896,7183.3643
7678.57568359375,7669.909,7673.9424,7693.774,7676.548,7676.8394,7672.8066,7706.0366
985.6566772460938,900.0188,1194.3057,1430.7412,1025.0063,941.8033,1259.761,1496.6902
9829.70703125,9822.688,9904.741,9963.856,10008.673,9989.92,10079.116,10124.274
3329.51171875,3319.346,3316.2268,3323.2004,3330.5134,3323.3096,3321.2139,3327.3137
2608.837890625,2587.4167,2620.1025,2647.2188,2652.911,2629.7896,2664.6929,2688.4075
2488.352294921875,2474.6345,2483.1804,2497.8025,2502.2766,2488.8567,2497.6235,2512.261
2542.2783203125,2531.1587,2553.8005,2551.4998,2542.0034,2532.485,2554.443,2552.5256
1155.1490478515625,1154.154,1154.0314,1153.5842,1154.2893,1153.7539,1153.204,1153.2013
3259.046875,2998.6438,3283.904,3435.0574,3326.0874,3053.5435,3362.117,3511.3806
1752.7607421875,1758.1786,1771.8108,1773.3708,1787.0851,1790.8228,1805.6246,1805.7744
12447.40625,12334.044,12443.154,12435.482,12570.663,12478.785,12571.238,12577.744
1220.806640625,1206.0208,1301.0471,1325.3323,1241.2836,1223.3112,1325.0354,1346.9862
2029.044189453125,2023.0356,2060.134,2078.685,2071.445,2060.502,2101.5188,2116.4956
2442.5869140625,2460.8904,2440.3865,2471.0974,2477.2466,2500.4663,2479.945,2507.745
4699.08984375,4523.1113,4847.162,4746.6113,4705.2266,4538.184,4859.588,4761.008
5785.5458984375,5814.411,5872.7686,5893.1,5958.053,5989.6904,6045.1914,6054.27
6316.67578125,6313.8403,6320.554,6361.401,6387.416,6384.1714,6396.4175,6433.2573
9768.8505859375,9760.885,9848.768,9910.574,9952.204,9938.811,10031.49,10077.447
5082.3583984375,5083.7,5112.412,5200.087,5113.908,5109.363,5155.2866,5234.8413
5986.36767578125,5901.448,6069.8853,6150.6836,6090.559,5995.154,6179.1777,6250.04
2331.83984375,2323.6943,2332.729,2329.6897,2331.1382,2325.5432,2335.675,2332.721
1376.2867431640625,1373.0889,1378.3955,1374.5387,1376.1115,1374.9491,1381.2072,1377.5114
7416.27783203125,6911.7373,7686.715,9070.152,7396.819,6833.195,7708.107,9107.001
9210.7470703125,9187.078,9198.705,9217.06,9207.185,9195.042,9216.125,9228.84
5056.5634765625,5063.9893,4999.4116,4928.6416,5063.5864,5081.9663,5004.6987,4932.1177
1918.3721923828125,1885.7485,1881.0627,1876.9298,1914.0594,1882.0616,1875.7982,1875.0818
3108.349853515625,3122.0103,3068.7036,3080.4167,3105.1494,3121.2627,3065.0422,3078.082
2479.063232421875,2492.2827,2482.767,2483.77,2480.134,2497.0964,2486.8655,2488.9497
4837.94873046875,4703.019,4725.547,4676.31,4849.3755,4718.018,4731.982,4687.0254
8251.6865234375,8309.08,8308.343,8271.811,8311.666,8377.0,8366.167,8330.547
7136.50341796875,7153.7383,7150.1294,7158.7427,7142.2085,7165.727,7163.605,7169.152
10103.0107421875,10196.624,10163.619,10064.867,10115.902,10217.002,10169.306,10066.044
9101.1044921875,9041.35,9045.492,9014.608,9096.991,9052.077,9050.073,9028.912
4395.34423828125,4370.795,4327.484,4323.6763,4394.527,4383.1616,4343.583,4325.1396
6398.1943359375,6369.5254,6367.889,6378.3643,6393.5977,6370.7124,6365.04,6386.164
5390.685546875,5538.9497,5957.084,5957.537,5406.953,5580.7354,5999.8433,6028.8223
5234.837890625,5275.807,5253.7544,5247.928,5280.471,5327.064,5301.806,5297.2
1904.0341796875,1904.4197,1903.9146,1906.5149,1913.3584,1913.3589,1912.0902,1915.5487
2110.881103515625,2106.6252,2109.2097,2111.908,2133.9375,2128.0664,2130.2207,2134.3965
5415.44189453125,5477.5938,5432.531,5441.279,5467.8438,5537.6895,5487.1284,5496.1733
1284.0582275390625,1291.1836,1281.2539,1276.4573,1296.5193,1304.23,1292.3765,1287.6859
1921.065185546875,1917.5363,1921.4003,1919.674,1930.4047,1926.5322,1929.2858,1928.5062
3374.1396484375,3392.5552,3400.432,3380.7324,3374.9634,3396.6304,3402.386,3380.4546
9622.8134765625,9654.809,9638.974,9641.086,9614.849,9657.443,9643.189,9644.391
1397.4503173828125,1381.5631,1393.2146,1399.9641,1400.7294,1384.0911,1395.5159,1401.8683
8860.2216796875,8947.662,8942.557,8905.135,8881.681,8980.272,8964.3545,8926.944
9180.6650390625,9298.602,9229.679,9276.066,9166.46,9297.172,9217.332,9259.834
1498.11279296875,1515.2673,1508.125,1447.8638,1500.6904,1523.9578,1511.7322,1450.9889
5788.01171875,5783.6396,5788.304,5791.659,5788.8574,5785.4897,5789.3457,5792.482
2640.930419921875,2631.3555,2669.4136,2616.8892,2660.9866,2651.9988,2689.3213,2636.961
1653.5423583984375,1651.725,1655.454,1656.7378,1661.9801,1660.0817,1664.1489,1665.571
6870.58349609375,6866.4795,6863.7144,6882.6323,6886.319,6885.5913,6876.4624,6895.688
2962.763671875,2956.4216,2996.6873,2939.0044,2969.3606,2960.6611,2999.3652,2941.2615
1473.4312744140625,1476.8616,1477.6449,1467.9736,1484.8011,1489.7483,1488.5991,1480.2291
7297.779296875,7321.8696,7320.6357,7295.1323,7305.079,7326.9253,7324.9023,7295.4043
9404.0107421875,9454.458,9447.342,9438.834,9414.134,9454.206,9447.98,9429.502
1389.8228759765625,1393.2196,1397.2808,1399.7571,1396.1339,1398.894,1403.1864,1403.0068
2820.185546875,2841.3428,2871.9219,2910.1116,2931.1084,2948.462,2979.1123,3009.378
2106.79052734375,2113.7395,2144.6252,2140.7227,2149.528,2154.4373,2180.1973,2169.4614
2952.872802734375,3006.939,3066.6,3136.1982,3225.1821,3273.252,3321.6353,3383.3608
3214.051025390625,3235.0972,3281.363,3342.5627,3374.5784,3385.9258,3435.5186,3486.0056
4813.0263671875,4858.1514,4913.3154,4942.632,4964.813,4999.1694,5053.894,5071.0137
6312.4423828125,6420.4443,6505.9536,6620.1865,6703.4355,6815.6973,6911.9395,7003.3
10870.7978515625,11017.664,11151.151,11273.67,11450.928,11583.696,11696.166,11794.979
3222.743408203125,3259.4329,3296.9822,3268.4116,3266.2021,3308.8193,3346.9014,3316.4082
1100.555419921875,1109.607,1105.72,1115.133,1122.4594,1132.0748,1128.7612,1138.4658
10709.91015625,10745.453,10780.819,10808.493,10821.471,10850.492,10892.994,10912.003
4949.70947265625,4922.882,4913.8096,4950.82,4974.886,4963.0146,4967.1787,5008.4097
3922.05078125,3907.5952,3888.9573,3923.2153,3958.6326,3943.3015,3914.164,3946.3667
5245.47509765625,5287.409,5318.62,5375.9995,5427.173,5463.974,5494.9985,5542.919
3056.83837890625,3078.1523,3099.7214,3132.925,3157.9749,3176.6758,3196.6274,3223.8474
